entity,code,year,annual_co2_emissions_per_capita,gdp_per_capita,population_historical_estimates,continent
Afghanistan,AFG,2015,0.2297,1928,34413603,Asia
Albania,ALB,2015,1.5553,10032,2890524,Europe
Algeria,DZA,2015,3.7677,14004,39728020,Africa
Angola,AGO,2015,1.2057,8689,27884380,Africa
Argentina,ARG,2015,4.4667,19502,43075416,South America
Armenia,ARM,2015,1.8695,10042,2925559,Asia
Australia,AUS,2015,16.8507,48357,23932499,Oceania
Austria,AUT,2015,7.6454,41294,8678667,Europe
Azerbaijan,AZE,2015,3.8439,17460,9622741,Asia
Bahrain,BHR,2015,23.6688,40483,1371853,Asia
Bangladesh,BGD,2015,0.469,3402,156256287,Asia
Barbados,BRB,2015,4.4208,11849,285327,North America
Belarus,BLR,2015,6.1484,18136,9439424,Europe
Belgium,BEL,2015,8.9525,38569,11287931,Europe
Benin,BEN,2015,0.5036,2055,10575962,Africa
Bolivia,BOL,2015,1.9575,6200,10869732,South America
Bosnia and Herzegovina,BIH,2015,5.3831,9495,3429362,Europe
Botswana,BWA,2015,2.558,14805,2120716,Africa
Brazil,BRA,2015,2.5889,15826,204471759,South America
Bulgaria,BGR,2015,6.7052,16373,7199739,Europe
Burkina Faso,BFA,2015,0.182,1450,18110616,Africa
Burundi,BDI,2015,0.0385,694,10160034,Africa
Cambodia,KHM,2015,0.5493,3086,15521435,Asia
Cameroon,CMR,2015,0.3325,2778,23298376,Africa
Canada,CAN,2015,15.9066,43619,36026668,North America
Cape Verde,CPV,2015,0.9357,6266,524740,Africa
Central African Republic,CAF,2015,0.04,576,4493171,Africa
Chad,TCD,2015,0.0494,2384,14110971,Africa
Chile,CHL,2015,4.5536,21589,17969356,South America
China,CHN,2015,7.0003,12244,1406847868,Asia
Colombia,COL,2015,1.9353,13218,47520667,South America
Comoros,COM,2015,0.2309,1696,777435,Africa
Congo,COG,2015,0.7108,6272,4856093,Africa
Costa Rica,CRI,2015,1.5277,13677,4847805,North America
Cote d'Ivoire,CIV,2015,0.405,3218,23226148,Africa
Croatia,HRV,2015,4.2093,19698,4232874,Europe
Cuba,CUB,2015,2.5882,7889,11324777,North America
Cyprus,CYP,2015,6.0038,24963,1160987,Europe
Czechia,CZE,2015,9.8916,28194,10601390,Europe
Democratic Republic of Congo,COD,2015,0.0366,836,76244532,Africa
Denmark,DNK,2015,6.1884,44635,5688695,Europe
Djibouti,DJI,2015,0.4892,2941,913998,Africa
Dominica,DMA,2015,2.471,9319,71175,North America
Dominican Republic,DOM,2015,2.2851,13762,10281675,North America
Ecuador,ECU,2015,2.5141,10905,16212022,South America
Egypt,EGY,2015,2.3708,11159,92442549,Africa
El Salvador,SLV,2015,1.0554,8109,6325121,North America
Equatorial Guinea,GNQ,2015,9.2715,37822,1168575,Africa
Estonia,EST,2015,12.0574,24493,1315330,Europe
Eswatini,SWZ,2015,0.7865,7969,1104038,Africa
Ethiopia,ETH,2015,0.1259,1553,100835453,Africa
Finland,FIN,2015,8.0506,36836,5481128,Europe
